2018-07-10 15:27:46,307 [ModalContext] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading https://repo.maven.apache.org/maven2/org/apache/maven/archetypes/maven-archetype-webapp/1.0/maven-archetype-webapp-1.0.jar
2018-07-10 15:27:46,462 [ModalContext] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://repo.maven.apache.org/maven2/org/apache/maven/archetypes/maven-archetype-webapp/1.0/maven-archetype-webapp-1.0.jar
2018-07-10 15:27:46,591 [ModalContext] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading https://repo.maven.apache.org/maven2/org/apache/maven/archetypes/maven-archetype-webapp/1.0/maven-archetype-webapp-1.0.pom
2018-07-10 15:27:46,718 [ModalContext] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://repo.maven.apache.org/maven2/org/apache/maven/archetypes/maven-archetype-webapp/1.0/maven-archetype-webapp-1.0.pom
2018-07-10 15:28:34,644 [Worker-150] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Collecting project info '/pom.xml' /home/bridgeit/Downloads/AdvJava/loginReg/pom.xml
2018-07-10 15:28:36,479 [Worker-150] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.bridgeIt:loginReg:0.0.1-SNAPSHOT @ /home/bridgeit/Downloads/AdvJava/loginReg/pom.xml.
2018-07-10 15:28:37,880 [Worker-150] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /loginReg/src/main/java
2018-07-10 15:28:37,880 [Worker-150] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /loginReg/src/main/resources
2018-07-10 15:28:37,880 [Worker-150] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /loginReg/src/test/java
2018-07-10 15:28:39,808 [Worker-150] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Imported and configured 1 project(s) in 5 sec
2018-07-10 15:28:40,313 [Worker-150] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-07-10 15:28:40,317 [Worker-150] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-07-10 15:28:40,321 [Worker-150] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-07-10 15:28:40,322 [Worker-150] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/bridgeit/Downloads/AdvJava/loginReg/src/test/resources
2018-07-10 15:29:04,762 [Worker-155] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-07-10 15:29:04,797 [Worker-155] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-07-10 15:29:04,798 [Worker-155] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-07-10 15:29:04,798 [Worker-155] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/bridgeit/Downloads/AdvJava/loginReg/src/test/resources
2018-07-10 15:43:09,618 [Worker-158] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.bridgeIt:loginReg:0.0.1-SNAPSHOT @ /home/bridgeit/Downloads/AdvJava/loginReg/pom.xml.
2018-07-10 15:43:10,349 [Worker-158] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading https://repo.maven.apache.org/maven2/mysql/mysql-connector-java/6.0.6/mysql-connector-java-6.0.6.pom
2018-07-10 15:43:10,475 [Worker-158] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://repo.maven.apache.org/maven2/mysql/mysql-connector-java/6.0.6/mysql-connector-java-6.0.6.pom
2018-07-10 15:43:10,618 [Worker-158] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading https://repo.maven.apache.org/maven2/mysql/mysql-connector-java/6.0.6/mysql-connector-java-6.0.6.jar
2018-07-10 15:43:12,124 [Worker-158] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://repo.maven.apache.org/maven2/mysql/mysql-connector-java/6.0.6/mysql-connector-java-6.0.6.jar
2018-07-10 15:43:13,012 [Worker-158] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-07-10 15:43:13,014 [Worker-158] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-07-10 15:43:13,016 [Worker-158] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-07-10 15:43:13,017 [Worker-158] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/bridgeit/Downloads/AdvJava/loginReg/src/test/resources
2018-07-10 15:43:13,017 [Worker-158] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Changed resources require a complete clean of filtered resources of loginReg
2018-07-10 15:43:13,018 [Worker-158] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Executing resource filtering for loginReg
2018-07-10 15:43:13,026 [Worker-158] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-07-10 15:43:14,154 [Worker-164] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-07-10 15:43:14,155 [Worker-164] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-07-10 15:43:14,156 [Worker-164] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-07-10 15:43:14,157 [Worker-164] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/bridgeit/Downloads/AdvJava/loginReg/src/test/resources
2018-07-10 15:45:56,826 [Worker-165] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.bridgeIt:loginReg:0.0.1-SNAPSHOT @ /home/bridgeit/Downloads/AdvJava/loginReg/pom.xml.
2018-07-10 15:45:57,191 [Worker-165] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-07-10 15:45:57,193 [Worker-165] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-07-10 15:45:57,195 [Worker-165] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-07-10 15:45:57,195 [Worker-165] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/bridgeit/Downloads/AdvJava/loginReg/src/test/resources
2018-07-10 15:45:57,195 [Worker-165] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Changed resources require a complete clean of filtered resources of loginReg
2018-07-10 15:45:57,195 [Worker-165] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Executing resource filtering for loginReg
2018-07-10 15:45:57,198 [Worker-165] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-07-10 15:45:58,363 [Worker-164] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-07-10 15:45:58,364 [Worker-164] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-07-10 15:45:58,365 [Worker-164] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-07-10 15:45:58,365 [Worker-164] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/bridgeit/Downloads/AdvJava/loginReg/src/test/resources
2018-07-10 15:55:34,212 [Worker-166] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.bridgeIt:loginReg:0.0.1-SNAPSHOT @ /home/bridgeit/Downloads/AdvJava/loginReg/pom.xml.
2018-07-10 15:55:34,507 [Worker-166] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-07-10 15:55:34,509 [Worker-166] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-07-10 15:55:34,511 [Worker-166] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-07-10 15:55:34,511 [Worker-166] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/bridgeit/Downloads/AdvJava/loginReg/src/test/resources
2018-07-10 15:55:34,512 [Worker-166] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Changed resources require a complete clean of filtered resources of loginReg
2018-07-10 15:55:34,512 [Worker-166] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Executing resource filtering for loginReg
2018-07-10 15:55:34,515 [Worker-166] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-07-10 15:56:11,017 [Worker-169] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-07-10 15:56:11,019 [Worker-169] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-07-10 15:56:11,027 [Worker-169] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-07-10 15:56:11,028 [Worker-169] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/bridgeit/Downloads/AdvJava/loginReg/src/test/resources
2018-07-10 15:56:42,106 [Worker-158] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-07-10 15:56:42,107 [Worker-158] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-07-10 15:56:42,108 [Worker-158] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-07-10 15:56:42,109 [Worker-158] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/bridgeit/Downloads/AdvJava/loginReg/src/test/resources
2018-07-10 15:57:04,278 [Worker-158] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-07-10 15:57:04,279 [Worker-158] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-07-10 15:57:04,281 [Worker-158] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-07-10 15:57:04,282 [Worker-158] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/bridgeit/Downloads/AdvJava/loginReg/src/test/resources
2018-07-10 16:04:28,446 [Worker-171] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-07-10 16:04:28,447 [Worker-171] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2018-07-10 16:04:28,494 [Worker-171] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-07-10 16:04:28,494 [Worker-171] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/bridgeit/Downloads/AdvJava/loginReg/src/test/resources
2018-07-10 16:05:08,996 [Worker-174] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-07-10 16:05:08,997 [Worker-174] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
